Question,Answer,Category
Why was TRID created?,To help borrowers understand the terms of their home financing transaction.,Monday
"Under TRID, what disclosures were combined to create the loan estimate and the closing disclosure?","The GFE and the INITIAL TIL created the LE, and the HUD 1 and the FINAL TIL created the CD.",Monday
Under TRID a lender or mortgage broker may NOT charge the borrower any fees other than the _______ until the borrower has received the Loan Estimate AND the borrower has expressed the intent to proceed.,Credit Report Fee,Monday
What is the penalty for violating TRID?,1000000,Monday
What types of loans does TRID not apply to? And why?,"HELOCS, Reverse mortgages and Mobile homes not attached to real property because they do not receive an LE and CD.",Monday
"Under TRID, what are tolerances?",The amount of a change to a particular item between the Loan Estimate and the Closing Disclosure before it is in violation of the law.,Monday
What is zero tolerance?,These are fees that the consumer CAN NOT shop for which include those paid to unaffiliated service providers for required services. â— Real Estate Transfer Taxes â— Credit Report charges â— Appraisal â— Interest Rate â— Loan Origination Fees,Monday
What is 10% tolerance?,"These are fees that the lender chooses, or the borrower chooses from a list provided by the lender. Remember this tolerance bucket is accumulative. It's all the things in that bucket added together that canâ€™t exceed 10%. â— Title Insurance if chosen off the lenders list. â— Anything chosen off the lenders list â— Government Recording Fees",Monday
What is no tolerance?,Things the borrower shops for on their own. These items can change indefinitely and have no tolerance limits. â— Per Diem â— Hazard Insurance â— Title Insurance â— Termite inspection,Monday
If the Lender exceeds the tolerance levels (ZERO/10%) they must refund the borrower and give them a revised CD no later than how many days after closing?,30 calendar days,Monday
"Under TRID, what are the six items that make a complete loan application?",â— Address of subject property â— Loan Amount â— Income (Monthly) â— Estimated Value of property of the subject property â— Name of borrower â— Social Security Number,Monday
When does the LE have to be provided to the borrower?,Within 3 business days of receiving a complete application.,Monday
Who is ultimately responsible for giving the LE to the borrower?,"The Lender is ultimately responsible for the delivery of the Loan Estimate however, Mortgage brokers may provide the Loan Estimate to the borrower.",Monday
"For the LE, what is considered a business day?",Each day on which a creditor's offices are open to the public count as a business day.,Monday
The rate lock is found on what disclosure?,The LE,Friday
The terms on a Loan Estimate are valid and binding for a period of how many days from issuance?,10 days,Monday
Redisclosure of the LE must take place within how many days of a valid change in circumstance?,3 days,Monday
"If the loan estimate is mailed, it must be mailed how many days prior to loan consummation?",7 days,Monday
The borrower must receive revised LE no later than how many days prior to consummation?,4 days,Monday
What are examples of a VALID Change of Circumstances for redisclosure of the LE?,"â— Home was appraised for less than the sales price â— Change in income â— Change in loan product â— Borrower requested rate lock after lender issued original LE â— Information specific to the consumer or transaction that the creditor relied upon when providing the disclosures that was inaccurate or changed after the disclosures were provided â— Changed circumstance that changed the settlement charges â— Consumer requested changes â— An extraordinary event beyond the control of any interested party or other unexpected events specific to the consumer or transaction. (act of god, war or emergency â— Delay in short sale approval",Monday
LE must be kept for how many years after closing?,3 years,Monday
The lender is required to provide the CD at least _______ business days prior to closing of the loan and ______,3 business days prior to closing and at closing,Monday
Revised CD must be given within how many days of a valid change in circumstances?,3 days,Monday
What are the three reasons redisclosure can occur with the CD?,â— A change in the annual percentage rate for the loan â— Switching the loan product. â— A prepayment payment penalty has been added to the loan,Monday
Closing disclosure must be kept for how many years after consummation?,5 years,Monday
What is a partial payment policy?,Informs the borrower about the lender's policy and acceptance of payment that is less than the full payment amount due on the note.,Monday
Who enforces RESPA?,CFPB (Previously HUD),Monday
What's the penalty for violating RESPA?,10K AND/OR 1 YEAR IN PRISON,Monday
Who created RESPA?,US CONGRESS,Monday
RESPA provides protection on loans for?,Owner occupied residential properties containing 1-4 units. No mixed use or commercial properties.,Monday
RESPA does not apply to?,â— Bridge â— Commercial â— Construction â— Non-Owner Occupied Properties â— Agricultural (25 acres or more) â— Vacant Land (unless itâ€™s being built on in first 2 years) â— Investment Properties â— Temporary Financing â— ALL Cash Sales,Monday
What is Section 6 of RESPA?,Mortgage Servicing & Mortgage Servicing Abuses 2A,Monday
When must a servicer apply the full payment to the account?,The day it is received.,Monday
When must the lender respond to a payoff request?,Within 7 business days after receiving a written request from the borrower.,Monday
What is force placed insurance?,When the lender chooses the hazard insurance company when the borrower allows their policy to lapse. Forced Placed insurance will be more expensive and will only benefit the Lender.,Monday
When must the servicer send the borrower the notice about forced place insurance?,First notice at least 45 days before purchasing a force-placed insurance policy. second notice no earlier than 30 days after the first notice and at least 15 days before charging the borrower for force placed insurance.,Monday
What does a Servicer do?,"They collect monthly mortgage payments, payments for taxes and insurance or any other items that come due during the life of a mortgage, including late payments, are collected by the mortgage servicer.",Monday
What is Section 8 of RESPA?,"Kickbacks, fee splitting and unearned fees. 2B",Monday
What does RESPA Section 8 prohibit?,"Giving and accepting of any portion, split, or percentage of charges made or received for real estate settlement service business, unless for services actually performed.",Monday
What is a Qualified Written Request?,Request for information about the servicing of the mortgage loan or to assert that the company has made an error. The servicer must generally confirm they received the letter within 5 business days and respond with an answer within 30 business days. A 15 day extension may be given if there were any errors from the borrower on the QWR.,Monday
What is Section 9 of RESPA?,"TITLE: Prohibits home sellers from requiring home buyers to purchase their Title services from a particular company, either directly or indirectly, as a condition of the sale unless the seller pays for it. If the seller does not pay 100% of all fees, then the buyer may sue the seller, who violates this provision, for an amount equal to 3 times (TREBLE DAMAGE) all charges made for the title insurance. 2C",Monday
What is section 10 of RESPA?,Escrow 2D,Monday
What is the annual escrow analysis?,Itâ€™s a review of the escrow account to ensure enough funds are collected to pay upcoming installments of insurance premium(s) and/or taxes. 2D1,Friday
Any excess of $50 or more discovered in the borrower's escrow must be returned to the borrower in how many business days?,30 business days,Monday
Each month the lender may require a borrower to pay into the escrow account no more than how much of the total of all disbursements?,1/12 or 1 month,Friday
"A lender may require a cushion, limited to no more than how much of the total disbursements for the year.",1/6 or 2 months,Friday
"If a borrower requests the escrow account to be closed, the lender MUST provide the Escrow Closing Notice how many business days prior to the escrow account being closed?",3 business days,Monday
"If the escrow account is closed for ANY OTHER reason, the lender is required to provide the Escrow Closing Notice within how many business days prior to escrow account being closed?",30 business days,Monday
What are all the RESPA disclosures?,â— Know Before You Owe Booklet â— AFBA Disclosure Form â— Mortgage Servicing Disclosure Statement â— Initial Escrow Statement â— List of HUD Counselors â— Annual Escrow Statement â— Servicing Transfer Statement â— GFE â— HUD,Monday
What is another name for the Home Loan Toolkit?,Know Before You Owe Booklet/Special HUD information booklet/step by step.,Monday
When are the initial disclosures due?,Within 3 days of a completed loan application,Friday
When does the borrower receive the Home Loan Toolkit?,Within 3 days of a completed loan application.,Monday
What is the Home Loan Toolkit?,"Helps the borrower calculate how much they can afford for a home, gives them questions to ask their lender, and features worksheets and checklists to fill out during the process.",Monday
What is the Affiliated Business Arrangement (AFBA)?,"AFBA is an arrangement in which a person who is in a position to refer business, in connection with a real estate transaction, has an ownership interest of 1% or more in a provider of settlement services.",Monday
When must the borrower receive an Affiliated Business Arrangement (AFBA)?,Within 3 days of the completed loan application or at the time of referral if the referral is after the initial disclosures.,Monday
What's the purpose of the Mortgage Servicing Disclosure?,"Provides information from the lender about whether or not the servicing of the loan may be transferred, sold, or assigned to some other person or entity during the life of the loan.",Monday
When does the borrower receive the Mortgage Servicing Disclosure?,Within 3 days of the completed loan application.(Located on pg. 3 of LE),Monday
What is the Initial Escrow Statement?,Itemized estimate of taxes and insurance premiums as well as escrow account charges that are intended to be paid from the escrow account during the first 12 months of the loan.,Friday
When does the borrower receive the Initial Escrow Statement?,"Usually provided to the borrower at settlement, however the lender has up to 45 days from settlement to provide to the borrower.",Friday
What is the Initial Escrow sometimes referred to as?,The Hello letter.,Monday
When must the borrower be provided with the list of 10 HUD counselors?,Within 3 days of the completed loan application.,Wednesday
When must the borrower speak to HUD counselors?,"Borrowers must speak to a hud counselor if they are getting a HECM, High cost mortgage or First time home buyers (Fannie and Freddie) .",Monday
When is the Servicing Transfer Disclosure required to be sent to the borrower?,Is required to be sent to the borrower if the lender sells or transfers the servicing rights of the borrower's loan to another lender or servicer.,Monday
How many days prior to transfer of the servicing does the transferring lender/servicer have to send the Servicing Transfer Disclosure (Goodbye letter)?,Transferring lender/servicer must send it no later than 15 days prior to transferring to the new servicer.,Monday
How many days after the transfer of the servicing does the new lender/servicer have to send the Servicing Transfer Disclosure (Hello letter)?,The new servicer has no later than 15 days AFTER transfer to send servicing transfer disclosure (Hello Letter).,Monday
If there has been a transfer in the servicing. How many days grace period does the borrower have to get their payment to the right servicer?,There is a 60 day grace period where the previous lender MUST forward payment to the new servicer. NO late fee can be applied.,Monday
Good Faith Estimate,"A form very similar to an LE, but is used when someone applies for a reverse mortgage. GFE must be provided within 3 business days of receiving a completed application.",Monday
HUD-1 Settlement Statement,A standardized form to create an itemized list of any credits or charges to the borrower. A HUD-1 form is most commonly used for reverse mortgages. Borrowers must be given a copy of the HUD-1 at least 1 day prior to settlement.,Monday
What are settlement services according to RESPA?,"Services that occur at or prior to the purchase of a home are typically considered settlement services. These services include title insurance, mortgage loans, appraisals, abstracts, and home inspections. Services that occur after closing generally are not considered settlement services.",Monday
Who enforces the Truth in Lending Act (TILA)?,CFPB Part 3,Monday
Truth in Lending Act (TILA) is implemented by who?,Federal Reserve Board (FRB). Part 3,Monday
Truth in Lending Act (TILA) does not apply to what?,"Commercial, agricultural, business and organizational credit. (CABO)",Monday
Truth in Lending Act (TILA) applies to credit transactions payable in how many installments?,5 installments or more.,Monday
Truth in Lending Act (TILA) disclosures must be kept for _____ years?,2 years,Monday
What's the penalty for violating TILA?,"1st violation is $14,435 and subsequent violations is $28,866.",Monday
What does APR Stand for?,Annual Percentage Rate.,Monday
What is the Annual Percentage Rate (APR) and what is another term used for APR?,The cost of getting the mortgage as a yearly rate. The Annual Percentage Rate is your interest rate plus finance charges expressed as a percentage. Other terms used for APR are (Effective rate).,Monday
What is calculated in APR and what is not calculated in APR?,Calculated in APR are services that are financed in the mortgage (P&I). Things that are NOT calculated in APR are services that are not included in the mortgage or are third party fees. 3A-3/,Monday
What is the interest rate and what are some other terms that can be used for it?,Itâ€™s the amount a lender charges a borrower and is a percentage of the principal/the amount loaned. Other terms used for interest rate are (Nominal or Note Rate).,Thursday
What is a finance charge?,The cost of consumer credit as a dollar amount. It includes any charge payable directly or indirectly by the consumer and imposed directly or indirectly by the creditor as an incident to or a condition of the extension of credit. These are items that will not be paid in a cash transaction.,Monday
What are the Truth in lending act (TILA) disclosures?,â— Balloon Payment Disclosure â— Right to Rescind Disclosure â— ARM Disclosures â— When Your Home is on the Line â— Loan Estimate â— Closing Disclosure â— Consumer Handbook on Adjustable Rate Mortgages (CHARM Booklet) â— Transfer of ownership,Monday
When is the balloon disclosure given to the borrower and why?,"The balloon disclosure is given to the borrower 90 days prior to the balloon payment becoming due, and it is given to prevent Payment shock.",Monday
When is the ARM disclosure given to the borrower and why?,The ARM disclosure is given to the borrower 60 days prior to the interest rate changing if it's going to result in a new payment. and is given to prevent payment shock.,Thursday
When is the when your home is on the line disclosure given to the borrower and for what type of loan?,It's given within three days of a completed loan application and is for HELOCâ€™s only.,Friday
What is the CHARM and when must it be given?,The CHARM booklet provides information to consumers about the features and risks of Adjustable Rate Mortgage loans. Must be given within 3 days of a completed application when the borrower is considering an ARM loan.,Thursday
When does the borrower receive the Transfer of Ownership Disclosure?,"In an assignment of mortgage, if it's their primary residence, the new lender must send it to the borrower within 30 days after acquisition.",Thursday
What is The Mortgage Disclosure IMPROVEMENT ACT (MDIA)?,MDIA (3/7/3 RULE) states that LE is required within 3 business days of receipt of a completed application. You cannot consummate the loan within 7 business days after disclosures are delivered/mailed. If a redisclosure is required the borrower must receive the revised Closing disclosure at least 3 business days before loan consummation/closing.,Monday
"If a consumer wants to rescind (cancel) the mortgage contract, the three-day clock does not start until what three events have happened?","â— The Promissory Note is signed. â— Truth in Lending disclosure has been delivered. (in most circumstances, this will be found in the Closing Disclosure) â— Borrower has received two copies of a notice explaining your right to rescind.(usually given at closing)",Monday
"If the loan closes on a Friday, and there are no legal public holidays in between, when does the borrower rescission period expire?",Midnight on the following Tuesday.,Monday
"If the borrower does not receive the notice of their right to rescind, or the disclosures were incorrect. How long is the borrower's right of rescission extended till?",The borrower may rescind the loan up to three years from the date of closing.,Monday
When must the escrow be returned if any money was collected and the borrower rescinds?,Within 20 calendar days after receipt of a notice of rescission.,Monday
What must the consumer do to waive their right to rescind?,"The consumer must give a written statement that specifically waives the right, and also includes a brief description of the emergency.",Monday
What types of loans have a right of rescission?,â— REFINANCE â— REVERSE â— HELOC â— HOME IMPROVEMENT â— SECOND MORTGAGES,Monday
What types of loans DO NOT have a Right of Rescission?,â— SECOND HOMES/VACATION HOMES â— INVESTMENT PROPERTIES â— PURCHASES,Monday
What is the Loan Originator Compensation Rule?,Protects consumers by reducing incentives for loan originators to steer consumers into loans with particular terms and by ensuring that loan originators are adequately qualified.,Monday
"Financial institutions are generally required to maintain sufficient records of all compensation paid to loan originators, compensation agreements, for ____ years after the date of payment.",3 years after the date of payment.,Monday
What is Dual Compensation?,"Loan originators may not receive compensation from both the consumer and another party, such as a creditor. Can only get paid by the borrower or the creditor, not both.",Monday
"According to the loan originator compensation rule, loan originators may only be compensated based on what?","The principal loan amount, Comp cannot be based on any other loan terms or condition, such APR or interest rate.",Monday
What was yield-spread premium compensation back in the day?,MLO/lenders used to get paid for giving interest rates above par. This is now prohibited.,Friday
"Under the Loan originator Compensation Rule, When the loan originator persuades a borrower towards a specific loan or loan product in order to gain a higher compensation when the loan is not in the best interest of the borrower is called what?",Loan Steering,Monday
Loan Originator Compensation Rule is an amendment of what act?,Truth in Lending Act (TILA).,Monday
What is a Qualified Mortgage?,"QM has certain, less risky features that help make it more likely that the borrower will be able to afford the loan. A QM has requirements to make mortgages safer, easier to understand, and put a cap on the fees lenders can charge. If a loan is a QM it makes it easier to sell on the secondary market because it safe harbors the lender.",Monday
Risky features that are not allowed in Qualified mortgage are?,"â— Balloon payments â— interest-only â— Negative amortization, â— Loan terms that are longer than 30 years. â— No excess upfront points and fees more than 3% â— Must have Ability To Repay. â— Prepayment penalty over 3 years (Conventional Fixed Rate Only) â— Prepayment Penalty is 2% of the loanâ€™s balance during the first two years and 1% during the third year.",Monday
What is the The Ability-To-Repay rule?,"A determination that most lenders are required to make, to show that the borrower is able to pay back the loan based on the loan terms.",Monday
"For a QM the APR cannot exceed APOR by first-lien covered transaction with a loan amount greater than or equal to $134,841 by what %?",0.0225,Monday
"For a QM the APR cannot exceed APOR by first-lien covered transaction with a loan greater than $80,905 by what %?",0.035,Monday
"For a QM the APR cannot exceed APOR by first lien covered transaction with a loan amount less than $80,905?",0.065,Monday
"For a QM the APR cannot For exceed APOR by first lien covered transaction secured by a manufactured home with a loan amount less than $134,841?",0.065,Monday
"For a QM the APR cannot exceed APOR for Subordinate-lien covered transactions with a loan amount greater than or equal to $80,905?",0.035,Monday
"For a QM the APR cannot exceed APOR by Subordinate-lien covered transaction with a loan amount less than $80,905?",0.065,Monday
"Lenders must find out, consider, and document 8 pieces of information to determine if the borrower has the Ability to Repay. What are they?",â— Monthly Mortgage payment â— Income and assets â— Credit â— Employment â— Debt-Income ratios â— Other Debts (Alimony/Child Support) â— Expenses (Taxes/Insurance) â— Simultaneous Mortgages,Monday
What are some loans that are exempt under ATR rule?,â— Temporary loans 12 months or less including construction or bridge â— Reverse Mortgage Loans â— Non-Qualified Mortgages â— Timeshares â— Helocs,Monday
On Adjustable rate mortgages to determine if a borrower can repay a loan. Lenders cannot use an________ rate to figure out if a borrower can repay a loan (ATR).,Introductory or â€œteaserâ€ rate.,Thursday
The Home Ownership and Equity Protection Act (HOEPA) is what section? Under what Act?,Section 32/Truth in Lending Act (TILA). 3J,Monday
Why was the Home Ownership and Equity Protection Act (HOEPA) created?,HOEPA was created to prevent predatory lending.,Monday
A loan is considered a high-cost mortgage if its APR exceeds the Average Prime Offer Rate (APOR) by?,"â— 6.5% for first-mortgage transactions $50K or more â— 8.5% for first-mortgage transactions less than $50K ($49,999) â— 8.5% for subordinate-lien transactions",Monday
A mortgage is considered to be a High-Cost Mortgage if its points and fees exceed?,"â— 5% of the total loan amount if the loan amount is equal to or more than $26,968 (2025) â— 8% of the total loan amount or $1,348 (2025), whichever is less, if the loan amount is less than $26,968 (2025). These figures are adjusted annually",Thursday
What transactions are exempt from High-Cost Mortgages?,â— Reverse mortgage â— Construction only loan- stand alone â— Loans from Housing Finance Agency â— Loans from the United States Department of Agriculture's Rural Housing Service,Wednesday
Four important things to remember on a high-Cost mortgage loan?,â— No Balloon payments (except small creditors) â— Must have Ability-to-Repay â— No Prepayment penalty â— Must Speak to HUD Counselor,Monday
A loan will be considered a high-priced mortgage loan (HPML) if the APR is a certain percentage higher than the APOR by how much?,"â— For a first-lien mortgage, In general, a first-lien mortgage is â€œhigh-pricedâ€ if the APR is 1.5% over the APOR â— First-lien â€œjumboâ€ loan, it is â€œhigh-pricedâ€ if the APR is 2.5 percentage points or more higher than the APOR â— A subordinate-lien mortgage is generally â€œhigh-pricedâ€ if the APR is 3.5 percentage points or more higher than the APOR",Monday
"For High Priced Mortgage loans, borrowers must establish and maintain an escrow account for at least __________ regardless of loan-to-value ratio.",Five years,Monday
"For High-Priced Mortgage loans, when can the borrower request that the escrow be canceled?","After 5 years, The loanâ€™s unpaid principal balance must be less than 80 percent of the original value of the property and the borrower must not be currently delinquent.",Thursday
"A creditor shall not extend a high-priced mortgage loan to a borrower to finance the acquisition of the borrower's principal dwelling without obtaining, prior to consummation, two written appraisals, if?",The seller purchases the property 90 or â— fewer days prior to the date the consumer agreed to acquire the property and the purchase price is 10% or more than the seller's purchase price The seller acquired the property 91 to 180 â— days prior to the date the consumer agrees to acquire the property and the purchase price is 20% or more than the seller's purchase price,Wednesday
Under HPML if two appraisals are required. They may not be performed by the same appraiser. Who is Responsible to pay for a second appraisal?,The Lender.,Monday
Is there a prepayment penalty on a HPML?,No,Monday
Who enforces the Equal Credit Opportunity act?,CFPB Part 4,Tuesday
What's the purpose of the Equal Credit Opportunity Act?,To be equal when people are applying for credit.,Tuesday
What are the penalties for violating the Equal Credit Opportunity act and How long do they have to sue?,"Civil penalties are $5,000 per day. A pattern of misconduct can result in civil penalties of $25,000. Punitive damages up to $10,000 in individual lawsuits and the lesser of $500,000 or 1% of the creditor's net worth. If it is a civil action, consumers have within 5 years after the date of the occurrence of the violation.",Tuesday
ECOA records must be kept for?,25 months,Tuesday
What does creditworthiness mean?,"Is the extent to which a person or company is considered suitable to receive financial credit, often based on their reliability in paying money back in the past based on their credit history.",Friday
"Under ECOA, you cannot ask a borrower if they are single, widowed or divorced. How do you have to ask?","Married, unmarried or separated.",Tuesday
"Under ECOA, what age is considered elderly?",62 and over.,Tuesday
What are the 9 protected classes of ECOA?,Sex â— (HUD Equal Access Rule) â— Color â— National origin â— Religion â— Race â— The good faith exercise of any right under the Consumer Credit Protection Act Age â— (provided the applicant is old enough to enter into a contract) â— Marital status Participation in a public assistance â— program 4B,Tuesday
"When an application is complete, the creditor has ________ days to notify the applicant of the credit decision, counteroffer or denial of application.",30 days,Tuesday
"The creditor must notify the borrower of action taken _______ days after notifying the applicant of a counteroffer, if the applicant does not expressly accept or use the credit offered.",90 days,Tuesday
"After receiving an adverse action and if no reason was given, the borrower can request a statement of reasons within how many days? The Lender has how many days to deliver it?",Borrower has 60 days and the lender has 30 days.,Tuesday
When does the lender have to notify the borrower about their right to receive a copy of the appraisal?,Within 3 days of a completed application.,Monday
"If the borrower wants a copy of the appraisal, the creditor must deliver it no later than?",3 days prior to consummation.,Wednesday
When is the latest the lender has to deliver the appraisal if the borrower chooses not to receive a copy of the appraisal?,Lender must deliver the appraisal by closing.,Wednesday
"If the borrower is denied based on the appraisal, how many days do they have to request a copy? How many days does the lender have to deliver it?",Borrower has 90 days to request a copy and the lender has 30 days to deliver.,Wednesday
"ECOA says you may fill out a borrower's protected class for demographic purposes, under HMDA. What are those 3 things?","Sex, race and ethnicity",Tuesday
What type of discrimination is an explicit and obvious display of treatment based on a protected class?,Overt discrimination,Tuesday
This type of discrimination is when a lender treats applicants differently. This is when a particular protected class is treated differently than another person.,Disparate treatment,Tuesday
"This type of discrimination occurs when a creditor has policies in place that may have an adverse impact on applicants based on a protected class. It is not directly seen, but seen through data collected.",Disparate Impact,Tuesday
"What act protects people from discrimination when they are renting or buying a home, getting a mortgage, seeking housing assistance, or engaging in other housing-related activities?",Fair Housing Act,Tuesday
What Act is also known as the Fair Housing Act?,Title VIII of the Civil Rights Act of 1968.,Tuesday
What Act was the originally created to prohibit all forms of racial discrimination in real estate whether committed by government (public) or private parties?,The Civil Rights Act of 1866.,Tuesday
Who Enforces Fair Housing Act?,Department of Housing and Urban Development (HUD).,Tuesday
Whatâ€™s exempt under the Fair Housing Act?,"â— Single-family homes sold or rented by the owner, without the use of a real estate agent â— Housing ran by religious organizations â— Owner-occupied properties with no more than four units and owner lives in one unit â— Private clubs who limits occupancy to members of the club",Tuesday
What are the protected classes under The Fair Housing?,â— Sex (HUD Equal Access Rule) â— Color â— National Origin â— Race â— Religion â— Familial Status â— Handicap/Disability,Tuesday
Under FHA what is Familial Status defined as?,"Any family in which individuals under the age of 18 and still live with a parent, legal custodian, or individual who is designated by the parent or legal custodian and who has written permission from the parent or legal custodian.",Tuesday
What are the 4 main things FHA deals with?,â— Redlining â— Reverse Redlining â— Steering â— Blockbusting,Tuesday
What is Redlining under the Fair Housing Act?,"When a lender denies an applicant a loan for housing in a certain neighborhood, even though the applicant may be eligible for the loan. Done by unethical lenders.",Tuesday
What is Reverse Redlining under the Fair Housing Act?,"When a lender will only approve loans in a particular neighborhood, and will choose not to do business in lower class areas, often based on income, race, or ethnicity within particular geographical areas. Done by unethical lenders.",Tuesday
What is Steering under the Fair Housing Act?,Illegal practice of directing a prospective homebuyer to or away from a neighborhood based on the presence or absence of a protected class. Done by unethical Real Estate Agents.,Tuesday
What is Blockbusting under the Fair Housing Act?,"The practice of persuading owners to sell property cheaply because of the fear of people of another race or class moving into the neighborhood, and thus profiting by reselling at a higher price. Done by unethical Real Estate Agents.",Tuesday
"5-8 Under the Fair Housing Act, Complaints must be filed with who? And within how long of the last date of the alleged discrimination?",HUD/1 year,Tuesday
"5-9 If you work for a broker, what slogan must be used on all advertising? What if you work for a lender? And what logo must appear on all advertising?","Equal Housing Opportunity, if you work for a Broker. Equal Housing Lender, if you work for a Lender. And both must show the Equal Housing Logo on all advertisements.",Monday
5-10 What Act was created to encourage banks and depository institutions to help meet the credit needs of the communities in which they operate?,The Community Reinvestment Act,Tuesday
"6-1 \ What three federal banking agencies, or regulators, are responsible for the The Community Reinvestment Act?",â— Federal Deposit Insurance Corporation (FDIC) â— Federal Reserve Board (FRB) â— Office of the Comptroller of the Currency (OCC),Tuesday
What Act requires that all lending institutions report the loan information collected for all applicants?,HMDA (REG C),Tuesday
Under HMDA lenders are required to maintain a log of applications and submit the information to the federal government. What is this Report called?,Loan Application Register (LAR),Tuesday
HMDA information is found in what Section on the 1003 (loan application)? And what is that section called?,Sec 8/Demographic Section.,Tuesday
Loan Application Register (LAR) is kept for how many years? And must be reported when?,3 Years/Annually March 1st.,Friday
What are the three items collected under HMDA that ECOA says MLO can fill out based on visual observation?,"Race, ethnicity and sex.",Tuesday
What types of dwellings are subject to HMDA reporting?,â— Home Purchases â— Refinance â— Home Improvement loans â— Construction to Permanent loans (Does NOT apply to construction only),Tuesday
HMDA does not apply to loans secured by real property for purposes of?,â— Financing college tuition â— Funding vacations â— Purchasing goods for business inventory â— Loans on unimproved land â— Construction or bridge loans and other temporary financing,Tuesday
What's the purpose of FCRA?,FCRA regulates credit reporting agencies and creditors. It ensures the information that is collected for the credit report to be fair and accurate. The law is intended to protect consumers from misinformation being used against them.,Tuesday
"Who compiles, sells and collects account information about borrowing and repayment history to report on the credit report?",Credit reporting agencies,Tuesday
What are some things that the Credit reporting agencies collect?,â— Original loan amount â— Credit limit on a credit card â— Balance on a credit card/loan â— Payment status â— Items that are sent to collections or are being disputed â— Public records such as judgments and bankruptcies,Tuesday
"FCRA targets the three leading credit agencies, who are they?","TransUnion, Experian, and Equifax",Tuesday
"Under FCRA If there is a mistake on the credit report, within how many days does it need to be corrected?",30 days to have it corrected.,Tuesday
"How long does the Credit Reporting Agency Have to remove outdated information like judgments, bankruptcies and tax liens?","Judgements (7 years) paid tax liens (7 years), bankruptcies (7-10 years), unpaid tax liens will stay on forever.",Tuesday
"Before the Credit Reporting Agency adds negative information to the credit report, a notification must be given within ______ days.",A notification must be given within 30 days.,Tuesday
If a borrower is denied because of their credit report. The creditor must provide the borrower with what information?,"Name, address and phone number of the credit reporting agency that provided the information.",Tuesday
Adverse Action Notice which is also known as?,Denial letter.,Tuesday
Under FCRA when can the consumer get a free copy of their credit report?,"â— Fraud Alert issued due to identity theft â— Consumer is UNemployed and plans to apply for a job in the next 60 days â— Consumer gets Denied based on credit, (FCRA defines this as an â€œadverse actionâ€) â— Inaccurate information which appears on your credit report â— If the consumer receives Public assistance",Tuesday
What is the penalty for violating FCRA and how long does the consumer have to sue?,"The Penalty for violating FCRA is up to $1,000. Two years after the date the violation was discovered or within five years of the date the violation occurred. Whatever one happens sooner.",Tuesday
